EventTime,Latitude,Longitude,PeakCurrent,Sensors,DegreesFreedom,EllipseAngle,EllipseSemimajorAxis,EllipseSemiminorAxis,Chisq,RiseTime,Peak2Zero,MaxRateRise,Cloud
2018-09-25T04:58:55.000Z,41.5706,113.0045,16,4,5,38.7,2.9,1.8,0.8,8.8,8.8,0,1,
2018-09-25T05:12:50.000Z,41.605,113.0106,-18,12,21,47.7,1.2,1,1.4,15.4,25.2,0,0,
2018-09-25T05:12:50.000Z,41.6019,113.0271,-10,3,3,33.1,1.8,1.1,0.1,12.6,11,0,1,
2018-09-25T05:36:58.000Z,41.6085,113.0066,-12,5,7,39.5,1.5,1.1,1.4,9.6,10.4,0,1,
2018-09-25T05:36:58.000Z,41.6089,113.0803,-3,3,3,33,1.8,1.1,0.6,11.4,10,0,1,
2018-09-25T05:38:19.000Z,41.5798,113.0138,182,20,37,49.3,1.1,0.9,1.2,39.8,12.2,0,0,
2018-09-25T05:38:19.000Z,41.5639,113.0213,-7,3,3,33.2,1.8,1.1,0.4,11.4,8.6,0,1,
2018-09-25T05:43:08.000Z,41.5956,113.0151,232,16,29,38.2,1.2,0.9,0.8,44.6,14.4,0,0,
2018-09-25T05:44:13.000Z,41.6357,113.0308,-7,3,3,33,1.8,1.1,0.1,10.8,9.6,0,1,
2018-09-25T05:45:41.000Z,41.6122,113.0586,-7,3,3,33,1.8,1.1,0.4,10,8.4,0,1,
2018-09-25T05:46:36.000Z,41.6047,113.0455,-6,4,5,29.7,1.7,1.1,1.2,14.8,21.2,0,0,
2018-09-25T06:09:29.000Z,42.1825,113.9049,15,9,15,36,1.4,1,1.2,11.8,9,0,1,
2018-09-25T06:12:15.000Z,41.6285,113.0509,84,18,33,43.9,1.2,0.9,1.3,13.4,11.2,0,0,
2018-09-25T06:12:15.000Z,41.5722,113.0919,-3,3,3,33,1.8,1.1,1.1,11.4,26.8,0,0,
2018-09-25T06:13:47.000Z,42.2244,113.8652,26,9,15,171.1,1.7,1.2,2.3,12.6,8.6,0,0,
2018-09-25T06:13:47.000Z,42.2058,113.9649,3,3,3,29.7,2,1.1,0.6,12.4,11.6,0,1,
2018-09-25T06:13:47.000Z,42.1902,113.868,-27,11,19,42.4,1.4,1,0.6,13.2,30.2,0,0,
2018-09-25T06:16:40.000Z,42.2068,113.9239,-34,15,27,34.4,1.2,0.9,1.7,35.6,8.4,0,0,
2018-09-25T06:20:52.000Z,42.2066,115.7964,-12,7,11,31.7,1.6,1,0.7,8.8,9.6,0,1,
2018-09-25T06:20:52.000Z,42.2711,115.7585,-9,3,3,26.4,2.2,1.1,0.5,40.8,9.6,0,1,
2018-09-25T06:26:25.000Z,42.1857,115.7871,-18,5,7,33.3,1.9,1,0.6,11,8.8,0,1,
2018-09-25T06:26:25.000Z,42.1963,115.7827,81,17,31,34.2,1.2,0.9,2,14.6,34,0,0,
2018-09-25T06:28:20.000Z,42.1599,114.0759,27,11,19,34.2,1.4,1,1.5,13.2,25.8,0,0,
2018-09-25T06:30:43.000Z,42.1394,114.0923,25,13,25,31.8,1.2,0.9,0.4,14.6,11.6,0,0,
2018-09-25T06:30:43.000Z,42.1641,114.0505,-9,3,3,29.6,2,1.1,1.1,10.6,8,0,1,
2018-09-25T06:31:11.000Z,42.1746,114.0151,8,3,3,29.6,2,1.1,0.4,11.8,9,0,1,
2018-09-25T06:31:55.000Z,42.199,115.7511,14,11,19,40,1.4,1.1,0.5,21.2,10,0,1,
2018-09-25T06:32:58.000Z,42.2201,115.8322,-5,3,3,26.4,2.2,1.1,0.2,10.4,7.8,0,1,
2018-09-25T06:32:59.000Z,42.1974,115.8368,-3,3,3,26.4,2.2,1.1,0.1,10.4,24.6,0,0,
2018-09-25T06:33:47.000Z,42.1413,114.0176,42,11,19,42.2,1.4,1,0.4,15,13,0,0,
2018-09-25T06:34:08.000Z,42.1421,114.0167,-8,3,3,171.7,2.8,1.6,0.4,18,23,0,0,
2018-09-25T06:34:43.000Z,42.2225,115.7754,12,10,17,35,1.5,1,0.4,20,12.8,0,1,
2018-09-25T06:36:45.000Z,42.2322,114.1565,8,4,3,29.2,2,1.1,0.2,13.8,10.4,0,1,
2018-09-25T06:36:45.000Z,42.1894,114.124,51,15,27,37.4,1.2,0.9,0.9,11.8,13.6,0,0,
2018-09-25T06:36:45.000Z,42.187,114.1226,40,15,27,32.8,1.2,0.9,1.4,13.6,13.8,0,0,
2018-09-25T06:37:01.000Z,41.4256,113.0796,-20,8,13,60.9,2.7,1.5,0.6,12.2,9.2,0,0,
2018-09-25T06:37:31.000Z,42.145,114.0843,14,10,17,36,1.5,1,1.8,12.6,11.6,0,1,
2018-09-25T06:37:31.000Z,42.1904,114.1534,-4,3,3,29.3,2,1.1,0.2,11.8,12,0,1,
2018-09-25T06:38:56.000Z,42.1522,114.165,-6,3,3,29.4,2,1.1,0.6,10,11.6,0,1,
2018-09-25T06:38:57.000Z,42.1554,114.0472,10,3,3,29.6,2,1.1,1.1,8.8,6.2,0,1,
2018-09-25T06:38:57.000Z,42.1526,114.0346,52,15,29,39.6,1.2,0.9,0.5,12.6,10.2,0,0,
2018-09-25T06:39:39.000Z,42.713,115.1842,-14,10,17,33.2,1.5,1,1,9.8,9.4,0,1,
2018-09-25T06:39:39.000Z,42.7261,115.1751,102,20,37,29.3,1.1,0.9,1.4,27.8,33.8,0,0,
2018-09-25T06:39:48.000Z,42.2408,115.8608,-14,9,15,28.7,1.6,1,0.9,11.2,8,0,1,
2018-09-25T06:39:48.000Z,42.2509,115.8708,-7,3,3,26.3,2.2,1.1,0.7,12.6,9.6,0,1,
2018-09-25T06:40:20.000Z,42.5227,115.5527,3,3,3,29.9,2.4,1.1,0.3,13.2,25.8,0,1,
2018-09-25T06:40:20.000Z,42.5258,115.5926,41,13,23,25.5,1.4,0.9,0.8,14,27.6,0,0,
2018-09-25T06:40:20.000Z,42.5702,115.6405,-3,3,3,25.9,2.2,1.1,0.8,11.8,24,0,0,
2018-09-25T06:40:29.000Z,42.1449,114.027,49,18,33,34.8,1.1,0.9,0.7,15.6,17.4,0,0,
2018-09-25T06:41:22.000Z,42.5474,115.5992,-8,3,3,26,2.2,1.1,0.5,12.4,10.2,0,1,
2018-09-25T06:42:30.000Z,42.8744,115.7418,22,11,19,21.7,1.3,1,1.1,12.6,13.8,0,0,
2018-09-25T06:42:51.000Z,42.5432,115.5774,6,5,7,26.5,2.3,1.1,0.6,15.4,25.4,0,1,
2018-09-25T06:42:51.000Z,42.5523,115.6358,4,3,3,25.9,2.2,1.1,0.6,10.6,26.8,0,1,
2018-09-25T06:42:53.000Z,42.2709,115.8528,64,18,35,31.4,1.2,0.9,2.3,37.8,10.2,0,0,
2018-09-25T06:43:10.000Z,42.1549,114.0348,3,3,3,29.6,2,1.1,0.1,10.2,9.2,0,1,
2018-09-25T06:44:30.000Z,42.4879,115.6886,22,10,17,35.7,1.4,1,0.4,27.6,12.4,0,0,
2018-09-25T06:46:07.000Z,42.1975,115.8902,-98,17,33,33.9,1.2,0.9,1,11.6,8.8,0,0,
2018-09-25T06:46:07.000Z,42.2161,115.7827,13,9,15,38.9,1.7,1,0.6,16.6,33.6,0,0,
2018-09-25T06:46:07.000Z,42.22,115.879,33,14,25,39.3,1.4,0.9,0.8,16.4,28.6,0,0,
2018-09-25T06:46:07.000Z,42.2549,115.907,-4,3,3,26.2,2.2,1.1,0.3,9.6,8.8,0,1,
2018-09-25T06:46:07.000Z,42.2227,115.8648,-8,3,3,26.4,2.2,1.1,0.4,12.6,9.6,0,1,
2018-09-25T06:46:41.000Z,42.6401,115.3168,-5,3,3,26.2,2.2,1.1,1,8.4,7.8,0,1,
2018-09-25T06:47:24.000Z,42.2084,114.4105,-35,13,25,38.4,1.2,0.9,0.9,15,26.2,0,0,
2018-09-25T06:47:24.000Z,42.2196,114.4531,-67,15,29,28.7,1.2,0.9,1.4,15.8,28,0,0,
2018-09-25T06:48:55.000Z,42.5731,115.658,-3,3,3,25.8,2.2,1.1,0.2,14,18.2,0,0,
2018-09-25T06:49:39.000Z,42.144,114.2369,3,3,3,35.1,2.3,1.1,0.3,11,6.4,0,1,
2018-09-25T06:50:22.000Z,42.182,114.4638,-65,16,29,35.3,1.2,0.9,0.7,21.4,23.2,0,0,
2018-09-25T06:50:29.000Z,42.4744,115.6416,6,3,3,29.9,2.4,1.1,0.3,16.6,23.4,0,1,
2018-09-25T06:50:30.000Z,42.5332,115.7392,-4,3,3,25.8,2.2,1.1,0.3,13.4,9.6,0,1,
2018-09-25T06:50:56.000Z,42.5065,115.6473,18,10,17,26.9,1.5,1,0.5,11.8,13.8,0,0,
2018-09-25T06:51:07.000Z,42.1539,114.2877,-16,6,9,36.2,1.6,1,0.4,13.8,13.2,0,0,
2018-09-25T06:51:54.000Z,42.1202,114.2874,-4,3,3,29.2,2,1.1,0.2,11.2,27.6,0,0,
2018-09-25T06:51:55.000Z,42.1266,114.2937,-2,3,3,29.2,2,1.1,0.3,10.8,12.8,0,1,
2018-09-25T06:51:55.000Z,42.1066,114.2819,-4,3,3,29.3,2,1.1,1.1,10.4,28.4,0,0,
2018-09-25T06:52:51.000Z,42.6721,115.3475,4,3,3,26.1,2.2,1.1,0.4,15.2,18.2,0,1,
2018-09-25T06:52:51.000Z,42.6303,115.3388,-5,3,3,26.2,2.2,1.1,1.1,11,8.4,0,1,
2018-09-25T06:53:10.000Z,42.5874,115.6419,-17,13,23,33.1,1.3,1,2.9,12.4,16.4,0,0,
2018-09-25T06:55:48.000Z,42.161,114.3104,-9,6,9,34.7,1.8,1,0.4,12.4,26.4,0,0,
2018-09-25T06:57:14.000Z,42.1444,114.2874,-18,12,21,38.5,1.3,1,0.7,16.6,20.6,0,0,
2018-09-25T06:57:42.000Z,42.6772,115.3891,-2,3,3,26,2.2,1.1,0.4,9.6,7.8,0,1,
2018-09-25T06:57:42.000Z,42.6549,115.384,6,5,7,23.1,2.1,1,0.5,14.2,10.6,0,1,
2018-09-25T06:57:42.000Z,42.6654,115.3429,-5,3,3,26.1,2.2,1.1,0.8,11.6,10.6,0,1,
2018-09-25T06:58:00.000Z,42.1735,114.2485,-6,3,3,29.2,2,1.1,0.4,13,16.8,0,0,
2018-09-25T06:58:03.000Z,42.1658,114.211,-11,7,11,27.7,1.6,1,0.4,12.8,23,0,0,
2018-09-25T06:58:03.000Z,42.1868,114.2098,9,5,7,32.3,1.8,1.1,0.7,11.8,8.8,0,1,
2018-09-25T06:58:40.000Z,42.1205,114.2583,-14,9,15,30.5,1.4,1,0.5,15.6,16.4,0,0,
2018-09-25T06:58:44.000Z,42.2361,114.5973,16,10,17,67.7,2,1.5,1.5,9.6,10.2,0,1,
2018-09-25T06:58:44.000Z,42.2202,114.4873,29,16,29,40.9,1.2,0.9,1,18.2,24.2,0,0,
2018-09-25T06:58:44.000Z,42.1647,114.1953,4,3,3,35.1,2.3,1.1,0.8,16,10.6,0,1,
2018-09-25T06:59:21.000Z,42.4778,115.3851,-31,15,27,32.8,1.3,0.9,0.5,14.8,27,0,0,
2018-09-25T06:59:35.000Z,42.1635,114.1845,2,3,3,29.3,2,1.1,0.2,12.4,9.4,0,1,
2018-09-25T06:59:39.000Z,42.1154,114.3026,-9,6,9,28.7,1.6,1,1.4,18.2,24.6,0,0,
2018-09-25T07:00:07.000Z,42.2518,114.4518,3,3,3,28.6,2,1.1,0.3,8.8,8.2,0,1,
2018-09-25T07:00:07.000Z,42.2056,114.458,24,13,23,179.6,1.4,1.2,1.8,12.8,27.2,0,0,
2018-09-25T07:00:24.000Z,42.1227,114.2518,-12,8,13,36.1,1.6,1,0.5,11.6,25.6,0,0,
2018-09-25T07:00:24.000Z,42.1352,114.2621,-11,6,9,29.9,1.5,1.1,0.8,12.4,17.8,0,0,
2018-09-25T07:00:25.000Z,42.1263,114.2587,-19,11,19,38.5,1.4,1,0.4,11.2,14.8,0,0,
2018-09-25T07:00:25.000Z,42.1312,114.2569,-14,9,15,33.3,1.5,1,0.5,11.6,12,0,0,
2018-09-25T07:00:46.000Z,42.1633,114.2172,3,3,3,29.3,2,1.1,0.8,11.6,9.6,0,1,
2018-09-25T07:00:58.000Z,42.1234,114.2674,-13,9,15,34.5,1.5,1,0.2,13.4,23,0,0,
2018-09-25T07:01:17.000Z,42.1548,114.27,-10,6,9,37.4,1.6,1.1,0.3,11.6,20.4,0,0,
2018-09-25T07:01:32.000Z,42.1891,113.8744,2,3,3,29.9,1.9,1.1,0.4,10.8,10.6,0,1,
2018-09-25T07:01:32.000Z,42.1521,113.8628,21,9,15,41.2,1.5,1,0.4,12,10.8,0,0,
2018-09-25T07:02:30.000Z,42.1549,114.2752,-4,3,3,29.2,2,1.1,0.6,9.8,28,0,0,
2018-09-25T07:02:31.000Z,42.1428,114.2698,-10,5,7,32.3,1.8,1.1,0.9,11.8,15,0,0,
2018-09-25T07:02:31.000Z,42.1496,114.2751,-18,11,19,35.1,1.4,1,0.4,12.2,9.8,0,0,
2018-09-25T07:03:27.000Z,42.0864,114.0758,-22,11,19,24.6,1.3,1,0.9,14,28.2,0,0,
2018-09-25T07:03:32.000Z,42.1987,114.2995,-14,7,11,31.5,1.7,1,0.5,10.4,8.4,0,1,
2018-09-25T07:03:32.000Z,42.187,114.2891,-33,15,27,36.2,1.2,0.9,0.9,15.6,20.4,0,0,
2018-09-25T07:03:32.000Z,42.1721,114.2454,-17,9,15,179.5,1.6,1.3,0.2,11,11,0,0,
2018-09-25T07:03:32.000Z,42.1631,114.2865,-9,5,7,25.5,1.9,1.1,0.5,11.4,12.6,0,0,
2018-09-25T07:04:16.000Z,42.0804,113.0203,-2,3,3,46.5,3.1,1.2,0.2,6.6,5.2,0,1,
2018-09-25T07:04:22.000Z,42.2696,114.451,-4,3,3,33.9,2.3,1.1,0.2,34.8,14.4,0,0,
2018-09-25T07:04:22.000Z,42.2362,114.4245,-2,3,3,34.1,2.3,1.1,0.7,45.4,11.4,0,1,
2018-09-25T07:05:18.000Z,42.1609,114.2673,-7,3,3,29.2,2,1.1,0.5,10.8,11.4,0,1,
2018-09-25T07:06:07.000Z,42.0939,114.1178,-23,11,19,32.7,1.4,1,0.8,16.4,27.8,0,0,
2018-09-25T07:07:34.000Z,42.1435,114.1786,4,3,3,29.4,2,1.1,0.3,9.4,8,0,1,
2018-09-25T07:08:30.000Z,42.4786,115.485,-16,9,15,30,1.5,1,0.9,13.8,27.2,0,0,
2018-09-25T07:08:52.000Z,42.1384,113.0627,103,19,35,33.1,1.2,0.9,2,14.8,39,0,0,
2018-09-25T07:08:58.000Z,42.1906,114.2727,-17,11,19,39.9,1.3,1,0.7,11.6,26.4,0,0,
2018-09-25T07:10:09.000Z,42.127,114.2938,-4,3,3,29.2,2,1.1,0.4,11,9,0,1,
2018-09-25T07:10:09.000Z,42.1597,114.2834,-18,8,13,31.9,1.5,1,0.2,10.2,10.2,0,0,
2018-09-25T07:10:15.000Z,42.0962,113.9092,-9,3,3,30,1.9,1.1,0.3,12.8,25.8,0,0,
2018-09-25T07:10:15.000Z,42.0895,113.8906,-15,9,15,30.1,1.4,1,1.2,12.2,26.6,0,0,
2018-09-25T07:10:30.000Z,42.0898,114.1451,-7,3,3,29.6,2,1.1,0.1,11.8,23.6,0,0,
2018-09-25T07:11:03.000Z,42.2031,114.3332,-4,3,3,28.9,2,1.1,0.2,12.2,8,0,1,
2018-09-25T07:11:03.000Z,42.0904,114.3826,-5,3,3,29.1,2,1.1,0.4,11.4,28.4,0,0,
2018-09-25T07:11:36.000Z,42.1653,115.9029,-32,12,21,22.3,1.3,1,1,15.8,23.6,0,0,
2018-09-25T07:11:56.000Z,42.1883,114.3207,-18,6,9,30.3,1.5,1.1,0.5,14.2,26,0,0,
2018-09-25T07:13:01.000Z,42.6083,115.3638,-16,9,15,26.1,1.5,1,0.4,12.6,25,0,0,
2018-09-25T07:13:03.000Z,42.1975,114.3485,-9,9,15,32.8,1.5,1,1.1,11.6,12.4,0,0,
2018-09-25T07:13:03.000Z,42.1927,114.327,-18,10,17,29,1.2,1,0.7,13,27.4,0,0,
2018-09-25T07:13:43.000Z,42.1598,114.1644,-7,3,3,29.4,2,1.1,0.8,12.6,28.6,0,0,
2018-09-25T07:13:43.000Z,42.1479,114.1578,-18,8,13,41.8,1.5,1.1,0.5,14,25.2,0,0,
2018-09-25T07:14:10.000Z,42.0708,114.1925,-6,5,7,31.6,2.1,1.1,1.5,31.8,9.4,0,1,
2018-09-25T07:14:47.000Z,42.6251,115.3472,-6,6,9,25.6,1.9,1.1,0.6,17.2,11.6,0,1,
2018-09-25T07:15:04.000Z,42.0739,114.2381,-2,3,3,29.4,2,1.1,0.7,10.4,8.6,0,1,
2018-09-25T07:15:08.000Z,42.2031,114.3422,-7,3,3,28.9,2,1.1,0.7,11.8,30.8,0,0,
2018-09-25T07:15:13.000Z,42.1698,113.7528,54,15,27,41.1,1.3,0.9,0.6,13.2,25,0,0,
2018-09-25T07:15:29.000Z,42.1449,114.2805,-22,8,13,32.6,1.4,1,0.7,13.8,28.4,0,0,
2018-09-25T07:15:55.000Z,42.1464,114.2151,-4,5,7,25.7,1.9,1.1,0.7,24,31.6,0,0,
2018-09-25T07:16:37.000Z,42.6424,115.3336,3,3,3,26.2,2.2,1.1,0.4,19.4,16.6,0,1,
2018-09-25T07:18:32.000Z,42.5877,115.4301,-6,3,3,26.1,2.2,1.1,0.2,12.6,20.6,0,0,
2018-09-25T07:18:32.000Z,42.6274,115.3984,-14,12,21,33.8,1.4,1,0.5,14.4,24.6,0,0,
2018-09-25T07:18:35.000Z,42.461,115.8947,-16,8,13,28,1.6,1,0.2,11.6,21.4,0,0,
2018-09-25T07:18:35.000Z,42.3891,115.8872,-11,4,5,24.5,1.8,1.1,0.8,13.8,24.6,0,0,
2018-09-25T07:19:07.000Z,42.1638,114.2102,-3,3,3,29.3,2,1.1,0.1,20.6,15,0,0,
